index,EMPTY in production — the known gap,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,Name,Agency,Email,Roster_URL,Genres,Source_URL,Research_Date,Notes
1,M.A.D. Tourbooking,M.A.D. Tourbooking GmbH,info@mad-tourbooking.de,https://mad-tourbooking.de/roster,"hardcore punk, metal, alternative",https://mad-tourbooking.de/about/,2026-09-23,Berlin-based European tourbooking agency; long-running hardcore/metal roster and club routing.
2,Killtown Bookings,Killtown Bookings,killtowntourbookings@gmail.com,https://killtownbookings.com/,"underground death metal, extreme metal",https://killtownbookings.com/about/,2026-09-23,Independent agency with Prague branch; explicitly routes underground metal across Europe and works with promoters/venues.
3,Left Hand Sounds,Left Hand Sounds,info@lefthandsounds.org,https://lefthandsounds.org/roster/,"death metal, black metal, extreme metal",https://lefthandsounds.org/services/,2026-09-23,Polish booking/promotion/tour-management operation; explicitly handles venue/local-promoter booking and current 2026 tours.
4,Obscure Promotion,Obscure Promotion s.r.o.,t.fiala@obscure.cz,https://obscure.cz/en/,"death metal, black metal, progressive metal, extreme metal",https://www.obscure.cz/en/contact,2026-09-23,Prague-based concert agency with Slovakia entity; dedicated booking contact and active 2026 Czech/Slovak club routing.
5,Curtain Events,Curtain Events,,https://www.curtain-events.de/,"metalcore, metal, alternative",https://www.curtain-events.de/,2026-09-23,"Berlin booking agency focused on club shows, tour support and festivals in Germany; public site does not expose a booking email in reviewed source."
6,Mindfeederz,Mindfeederz,hi@mindfeederz.com,https://mindfeederz.com/about/,"tour booking, artist management, underground/international",https://mindfeederz.com/about/,2026-09-23,Independent Berlin agency established 2007; provides tour booking and artist/label services.
7,Katharsis Agency,Katharsis Agency,katharsis-agency@gmail.com,https://katharsis-agency.com/,"extreme metal, deathcore, metal, European touring",https://katharsis-agency.com/,2026-09-23,Dresden promotion and booking agency; grew from deathcore festival activity into extreme-metal shows across Germany and European tours.
8,Weird World Booking & Promotion,Weird World Booking & Promotion GmbH,info@weird-world.de,https://www.weird-world.de/,"punk, hardcore, alternative, rock, tour booking",https://www.weird-world.de/impressum/,2026-09-23,European tourbooking agency with Berlin office; roots in punk/hardcore and books from small bars to large halls.
9,Redlionmusic,Redlionmusic Agency,info@redlionmusic.de,https://redlionmusic.de/redlion-family/,"rock, metal, metalcore, heavy metal, festival/tour booking",https://redlionmusic.de/,2026-09-23,"Independent Germany-based agency; full-service tour/festival booking for rock and metal across Continental/Eastern Europe, Scandinavia and UK."
10,Abyssal Booking,Abyssal Booking,,https://www.abyssalbooking.com/,"extreme metal, black metal, death metal, touring",https://www.abyssalbooking.com/about-us,2026-09-23,Central-Germany-based independent extreme-metal booking/management agency; explicitly handles club/festival shows and European touring. Contact page says band-application capacity is currently exhausted.
